"name","initial_solution_value","initial_solution_time_ms","num_iterations","num_iterations_acceptance","best_value","steps_to_best","time_to_best_s","seed","num_jobs_destroy_repair","temperature"
"ta034",2767,4,42076,22082,2751,2,0,1568187023,3,2.5646
"ta035",2854,4,42214,27436,2854,0,0,1750610342,3,2.5452
"ta036",2827,4,48081,24320,2825,1,0,1268342468,3,2.6008
"ta037",2747,4,46425,20784,2716,2826,0,2042315051,3,2.4648
"ta038",2691,4,42964,21925,2683,4,0,3029356535,3,2.4786
"ta039",2571,4,43175,20735,2545,24955,4,2664732186,3,2.3244
"ta040",2776,4,41219,26896,2776,0,0,3971772245,3,2.5636
"ta041",3109,12,41136,14885,3010,13195,4,3091104756,3,2.51
"ta042",3012,12,42337,14327,2894,41241,14,3319112478,3,2.4236
"ta043",2961,12,42323,16651,2855,12877,4,3811999754,3,2.4007
"ta044",3169,12,42979,16633,3061,3109,1,3432003399,3,2.5281
"ta045",3155,12,39824,12585,2995,14151,5,4243155406,3,2.5391
"ta046",3166,12,41511,14864,3006,25237,9,728906190,3,2.509
"ta047",3222,13,42374,15230,3101,10857,3,3854856147,3,2.5184
"ta048",3147,12,40760,13683,3042,7315,2,2016636388,3,2.4535
"ta049",3043,12,43673,14482,2895,6577,2,1535183006,3,2.4332
"ta050",3204,12,42649,14782,3078,34193,12,3862775536,3,2.5446
"ta051",4068,42,41451,11783,3845,36714,26,3179985761,3,2.59555
"ta052",3928,43,35993,12259,3716,22336,18,388578415,3,2.46355
"ta053",3859,43,41532,12975,3680,39790,28,3988599876,3,2.42175
"ta054",3902,42,43259,16168,3738,20707,14,2384633447,3,2.465
"ta055",3794,41,40980,14102,3604,36067,26,1348154079,3,2.45705
"ta056",3866,41,43857,17236,3717,35272,24,2828061192,3,2.4515
"ta057",3891,41,41284,15390,3705,31772,23,2260625223,3,2.48365
"ta058",3902,42,43853,14179,3700,28521,19,2840940349,3,2.46245
"ta059",3909,42,41084,13662,3737,14597,10,3406735173,3,2.49715
"ta060",4000,40,44281,14888,3746,30755,20,1661564342,3,2.5301
"ta061",5504,23,37824,27542,5493,227,0,1278710424,3,2.5797
"ta062",5291,22,38383,21872,5257,36081,14,1814210716,3,2.5182
"ta063",5193,22,38724,18651,5175,1613,0,2562237260,3,2.4735
"ta064",5025,22,38824,21082,4993,31381,12,2816434919,3,2.4028
"ta065",5255,22,37923,22262,5247,8631,3,2070380503,3,2.5098
"ta066",5139,23,38201,26669,5135,10184,4,1189730356,3,2.451
"ta067",5245,22,38226,19666,5232,25526,10,676312721,3,2.4749
"ta068",5101,23,37475,19142,5087,11082,4,3499973700,3,2.4339
"ta069",5454,23,37481,24935,5448,9,0,650951389,3,2.5839
"ta070",5346,22,39421,21760,5318,11338,4,2808742359,3,2.5583
"ta071",5861,70,36566,14242,5780,27648,22,262331490,3,2.59555
"ta072",5441,69,38190,13629,5352,25250,19,1487725226,3,2.42175
"ta073",5758,72,36558,16807,5681,2457,2,2478016987,3,2.50985
"ta074",5947,72,37264,13138,5816,1895,1,4239560280,3,2.6319
"ta075",5575,71,39018,12947,5488,8328,6,1693546917,3,2.48515
"ta076",5340,73,36312,14093,5317,1595,1,3498549040,3,2.37285
"ta077",5692,74,39601,19195,5600,18694,14,2798039560,3,2.4515
"ta078",5694,73,35600,12487,5624,3517,3,472914510,3,2.49255
"ta079",5965,76,34578,14878,5892,5093,4,2081291474,3,2.5698
"ta080",5865,76,28944,14507,5845,7963,8,1890711326,3,2.549
"ta081",6547,268,37410,12046,6310,33567,53,1792849624,3,2.46915
"ta082",6531,269,35420,11781,6282,32444,55,1284047410,3,2.4962
"ta083",6573,260,35271,12714,6314,28215,48,2743431078,3,2.48018
"ta084",6534,267,34078,11508,6300,19125,33,671681067,3,2.4637
"ta085",6629,264,38759,13192,6381,29147,45,1281169798,3,2.48097
"ta086",6702,264,37633,11783,6439,15133,24,3865966642,3,2.4825
"ta087",6570,259,38553,13842,6359,7732,12,4030065749,3,2.50242
"ta088",6749,246,42651,13028,6488,39551,55,355874355,3,2.54608
"ta089",6614,271,39324,12195,6337,29936,45,868203240,3,2.4991
"ta090",6652,264,38869,13681,6486,30560,47,2385528969,3,2.5166
