"name","solution_value","buffer_size"
"ta052",3713,4
"ta052",3718,5
"ta053",3672,4
"ta053",3661,5
"ta054",3755,4
"ta054",3746,3
"ta055",3626,5
"ta055",3625,5
"ta056",3705,5
"ta056",3702,4
"ta057",3720,4
"ta057",3719,5
"ta058",3724,5
"ta058",3713,5
"ta059",3766,4
"ta059",3762,3
"ta060",3773,4
"ta060",3776,3
"ta061",5493,11
"ta061",5493,13
"ta062",5268,11
"ta062",5268,11
"ta063",5175,14
"ta063",5175,12
"ta064",5016,9
"ta064",5014,13
"ta065",5250,11
"ta065",5250,9
"ta066",5135,11
"ta066",5135,14
"ta067",5246,10
