"name","solution_value","buffer_size"
"ta067",5246,10
"ta068",5094,12
"ta068",5094,11
"ta069",5448,10
"ta069",5448,10
"ta070",5322,11
"ta070",5322,10
"ta071",5770,6
"ta071",5770,6
"ta072",5349,8
"ta072",5349,8
"ta073",5679,7
"ta073",5679,8
"ta074",5794,6
"ta074",5818,6
"ta075",5468,7
"ta075",5468,7
"ta076",5308,7
"ta076",5308,8
"ta077",5599,9
"ta077",5599,9
"ta078",5630,5
"ta078",5630,6
"ta079",5875,9
"ta079",5875,6
"ta080",5848,5
"ta080",5845,6
"ta081",6268,6
"ta081",6274,5
"ta082",6248,9
"ta082",6224,8
"ta083",6348,5
"ta083",6321,5
"ta084",6323,16
"ta084",6366,15
"ta085",6384,5
"ta085",6398,4
"ta086",6449,7
"ta086",6437,5
"ta087",6312,6
"ta087",6310,7
"ta088",6453,5
"ta088",6442,4
"ta089",6318,5
"ta089",6326,6
"ta090",6493,6
"ta090",6483,7
"ta091",10872,10
"ta091",10872,12
"ta092",10491,11
"ta092",10497,12
"ta093",10922,10
"ta093",10923,9
"ta094",10889,12
"ta094",10893,13
"ta095",10537,11
"ta095",10537,10
"ta096",10333,9
"ta096",10331,13
"ta097",10860,12
"ta097",10857,13
"ta098",10734,11
"ta098",10734,11
"ta099",10438,13
"ta099",10438,12
"ta100",10685,9
"ta100",10676,12
