"name","solution_value","buffer_size"
"ta047",3102,3
"ta048",3044,5
"ta049",2887,3
"ta050",3078,3
"ta051",3854,4
"ta052",3725,6
"ta053",3661,4
"ta054",3721,3
"ta055",3607,4
"ta056",3695,5
"ta057",3694,3
"ta058",3689,4
"ta059",3731,5
"ta060",3776,5
"ta061",5493,7
"ta062",5257,8
"ta063",5175,9
"ta064",4993,8
"ta065",5247,6
"ta066",5135,8
"ta067",5232,7
"ta068",5086,11
"ta069",5442,10
"ta070",5322,7
"ta071",5776,6
"ta072",5352,7
"ta073",5681,9
"ta074",5816,6
"ta075",5497,7
"ta076",5317,8
"ta077",5609,9
"ta078",5631,6
"ta079",5897,5
"ta080",5845,6
"ta081",6270,4
"ta082",6241,7
"ta083",6311,5
"ta084",6296,12
"ta085",6398,5
"ta086",6437,5
"ta087",6332,6
"ta088",6487,5
"ta089",6333,6
"ta090",6489,6
"ta091",10857,11
"ta092",10537,9
"ta093",10928,10
"ta094",10877,12
"ta095",10499,11
"ta096",10341,12
"ta097",10868,11
"ta098",10798,10
"ta099",10419,10
"ta100",10685,8
